Software,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse
Overall,1,1.0,1.0,128.0,524288,626108,3310826.8,100.0
Unidentified,1,1.0,1.0,16.0,524288,118384,926716.5,28.0
VASP,1,128.0,128.0,256.0,65536,78122,760739.9,23.0
CP2K,1,2.0,2.0,16.0,69120,36302,198832.6,6.0
PDNS3D,3200,10240.0,12800.0,12800.0,64000,73,154972.0,4.7
SENGA,480,1000.0,3840.0,5760.0,7680,144,152302.1,4.6
CASTEP,5,32.0,128.0,128.0,3072,21346,122539.1,3.7
GROMACS,1,1.0,128.0,480.0,4096,9117,112885.2,3.4
LAMMPS,1,384.0,512.0,512.0,128000,15320,78590.8,2.4
NEMO,1,96.0,516.0,1224.0,9984,3230,68701.0,2.1
CASINO,128,128.0,512.0,1024.0,8192,1225,67170.4,2.0
Met Office UM,2,128.0,198.0,198.0,6464,10040,66040.3,2.0
iIMB,3072,7680.0,7680.0,7680.0,10240,68,60049.1,1.8
Nektar++,1,512.0,2560.0,3840.0,38400,434,51382.4,1.6
OpenFOAM,2,10.0,128.0,512.0,16384,2560,47656.4,1.4
ChemShell,1,128.0,256.0,336.0,5120,910,44195.2,1.3
Code_Saturne,1,512.0,1280.0,7040.0,524288,331,43597.5,1.3
EPOCH,128,1024.0,2048.0,3840.0,7680,769,43421.4,1.3
RMT,1,512.0,1920.0,2432.0,17152,1169,38433.0,1.2
NAMD,32,128.0,128.0,128.0,17280,2752,32343.7,1.0
Quantum Espresso,1,128.0,128.0,256.0,3584,2416,31542.5,1.0
Xcompact3d,4,256.0,1024.0,2048.0,131072,312,29843.6,0.9
CRYSTAL,128,256.0,256.0,512.0,32768,397,23901.0,0.7
Python,1,1.0,1.0,1.0,16384,290661,23013.8,0.7
3DNS,10944,10944.0,14608.0,14608.0,40320,65,21939.4,0.7
FHI aims,1,256.0,256.0,512.0,16384,5229,21882.9,0.7
MITgcm,2,126.0,126.0,126.0,2000,10708,17727.6,0.5
Nek5000,128,1280.0,1280.0,1280.0,4096,61,16738.5,0.5
CPMD,256,256.0,256.0,768.0,1024,209,9784.3,0.3
ONETEP,1,4.0,4.0,4.0,16384,1297,7733.1,0.2
a.out,1,1.0,8.0,64.0,36864,1717,7068.7,0.2
ptau3d,8,32.0,48.0,64.0,1024,103,6184.3,0.2
HANDE,1,1.0,1.0,640.0,640,370,4796.9,0.1
SIESTA,64,192.0,576.0,768.0,768,34,4761.3,0.1
DL_POLY,128,1280.0,1280.0,1280.0,1280,190,4291.6,0.1
GPAW,1,128.0,128.0,128.0,512,419,2930.0,0.1
NWChem,2,256.0,256.0,256.0,1024,7836,2575.7,0.1
GS2,1,512.0,3168.0,3168.0,3168,369,1575.6,0.0
Smilei,1024,2048.0,12288.0,57344.0,131072,14,830.0,0.0
DL_MESO,8,32.0,64.0,128.0,16384,171,388.1,0.0
AxiSEM3D,120,128.0,512.0,2176.0,8192,12,305.1,0.0
SBLI,8192,8192.0,8192.0,8192.0,8192,1,214.9,0.0
WRF,32,512.0,1024.0,1024.0,1024,33,104.1,0.0
HemeLB,32,32.0,128.0,1280.0,1280,10,60.3,0.0
TPLS,128,512.0,512.0,2304.0,4096,7,30.4,0.0
CESM,384,768.0,1024.0,1024.0,1536,26,21.9,0.0
OSIRIS,8,8.0,8.0,32.0,32,11,7.4,0.0
CloverLeaf,1,19.0,51.0,86.8,128,702,2.0,0.0
PRECISE,1,2.0,4.0,32.0,256,85,1.2,0.0
UKRmol+,1,1.0,2.0,2.0,64,332,1.1,0.0
HYDRA,1,1.0,1.0,1000.5,2000,3,0.7,0.0
ECHAM,384,384.0,384.0,384.0,384,8,0.3,0.0
FVCOM,1,1.0,1.0,1.2,2,4,0.0,0.0
