Scheduling Coefficient
Report produced on 2022-09-14 for period: Aug 2022 .
Usage broken down by job size. Coefficient is [runtime / (waittime+runtime)] - fraction of job lifetime spent doing work.
Low Priority jobs are excluded from the analysis
All Jobs
Resource Pool,Jobs Submitted,Jobs Run,Raw Usage / kAUs,Average Run Time / h,Average Wait Time / h,Scheduling Coefficient
Archer2,145163,144694,6126335.176,2:55:31,1:43:43,0.742

Nodes,Jobs Submitted,Jobs Run,Raw Usage / kAUs,Average Run Time / h,Average Wait Time / h,Scheduling Coefficient
1,78091,77963,230340.521,1:56:59,1:10:06,0.741
2,18807,18739,186766.057,3:17:23,1:27:31,0.856
3-4,16687,16578,427829.033,4:29:47,2:42:23,0.688
5-8,9342,9348,591930.623,5:47:52,2:30:50,0.709
9-16,12411,12329,705744.33,2:57:57,1:51:22,0.718
17-32,5665,5625,979751.917,4:45:16,3:28:41,0.718
33-64,2325,2286,766012.181,4:28:27,2:34:24,0.774
65-128,787,776,621094.293,5:26:42,3:18:54,0.652
129-256,456,454,621163.343,4:37:07,12:38:02,0.437
257-512,353,355,423737.964,1:43:57,8:48:18,0.198
513-1024,236,239,565476.799,1:39:26,14:53:16,0.129
1025-2048,2,1,6015.625,1:56:17,8:38:44,0.183
2049-4096,1,1,472.49,0:04:34,24:10:03,0.003
,145163,144694,6126335.176,0:00:00,0:00:00,0

Runtime: 0-1 Hour
Nodes,Jobs Submitted,Jobs Run,Raw Usage / kAUs,Average Run Time / h,Average Wait Time / h,Scheduling Coefficient
1,62353,62325,11730.92,0:07:27,0:40:48,0.717
2,10041,10040,3713.812,0:07:19,0:21:12,0.83
3-4,8541,8484,6762.722,0:08:25,0:39:14,0.652
5-8,6178,6169,5535.392,0:04:53,0:20:38,0.636
9-16,8974,8957,38784.509,0:14:11,0:52:26,0.672
17-32,3453,3450,27609.437,0:11:22,0:52:28,0.682
33-64,1684,1677,23156.923,0:12:50,0:34:11,0.759
65-128,363,362,7273.809,0:08:03,0:52:58,0.465
129-256,272,272,12849.008,0:10:11,4:23:02,0.294
257-512,288,288,39082.635,0:13:12,6:21:49,0.14
513-1024,172,174,55640.494,0:15:35,11:01:33,0.089
2049-4096,1,1,472.49,0:04:34,24:10:03,0.003
,102320,102199,232612.151,0:00:00,0:00:00,0

Runtime: 1-3 Hours
Nodes,Jobs Submitted,Jobs Run,Raw Usage / kAUs,Average Run Time / h,Average Wait Time / h,Scheduling Coefficient
1,6011,6055,16617.933,1:48:39,1:07:04,0.823
2,3471,3475,18703.962,1:46:41,0:35:46,0.945
3-4,3993,3971,41685.309,1:46:57,2:32:10,0.62
5-8,363,362,7278.174,1:52:35,1:38:17,0.874
9-16,1243,1244,39669.596,1:43:27,1:11:17,0.863
17-32,714,714,43194.305,1:27:41,2:10:22,0.737
33-64,150,150,24727.823,1:57:56,1:49:57,0.835
65-128,32,32,9214.648,1:51:11,6:06:21,0.666
129-256,24,23,11762.366,1:36:02,8:43:30,0.592
257-512,39,39,35702.659,1:27:23,6:37:12,0.358
513-1024,40,40,100358.688,1:52:04,23:22:51,0.166
1025-2048,2,1,6015.625,1:56:17,8:38:44,0.183
