Motif,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,kWh,PercentEnergy,Users,Projects
Overall,1,640.0,2048.0,6464.0,307200,620670,3469614.8,100.0,1509306.1,100.0,680,106
DenseLinearAlgebra,1,512.0,1024.0,2176.0,65536,192886,1228584.8,35.4,510028.7,33.8,228,20
NBodyMethods,1,640.0,2560.0,4096.0,131072,66262,597456.6,17.2,278962.4,18.5,97,23
SpectralMethods,1,320.0,640.0,1280.0,12800,75501,544065.5,15.7,219670.4,14.6,106,16
Unknown,1,1536.0,8000.0,16000.0,307200,147616,535264.4,15.4,235827.3,15.6,295,83
StructuredGrid,1,1280.0,6464.0,7680.0,78336,28792,496812.2,14.3,204828.9,13.6,108,21
SparseLinearAlgebra,1,384.0,1024.0,2048.0,12800,26835,278695.8,8.0,111219.9,7.4,48,10
UnstructuredGrid,1,2560.0,8192.0,12288.0,262144,2900,207359.4,6.0,96370.1,6.4,54,20
MonteCarloMethods,1,1024.0,1024.0,1024.0,65536,539,20314.9,0.6,10423.4,0.7,8,5
Profiler,1,8192.0,8192.0,8192.0,8192,172,159.1,0.0,52.1,0.0,16,12
