Scheduling Coefficient
Report produced on 2022-11-16 for period: Oct 2022 .
Usage broken down by job size. Coefficient is [runtime / (waittime+runtime)] - fraction of job lifetime spent doing work.
Low Priority jobs are excluded from the analysis
All Jobs
Resource Pool,Jobs Submitted,Jobs Run,Raw Usage / kAUs,Average Run Time / h,Average Wait Time / h,Scheduling Coefficient
Archer2,152312,152367,5631146.199,3:00:07,2:04:33,0.711

Nodes,Jobs Submitted,Jobs Run,Raw Usage / kAUs,Average Run Time / h,Average Wait Time / h,Scheduling Coefficient
1,89316,89480,256871.371,1:53:39,1:32:46,0.687
2,16948,16840,193391.932,3:47:16,1:13:32,0.822
3-4,15045,15129,480544.099,5:29:48,3:20:03,0.778
5-8,10086,10081,528837.5,4:47:15,2:56:46,0.712
9-16,11776,11741,821269.527,3:36:07,3:07:24,0.7
17-32,5566,5541,1155835.197,5:52:28,4:11:52,0.659
33-64,1907,1889,879725.463,6:13:49,4:08:40,0.663
65-128,1306,1297,801084.687,3:57:34,2:53:25,0.623
129-256,169,169,197635.46,3:41:59,13:40:56,0.492
257-512,74,75,130436.254,2:26:08,9:41:53,0.478
513-1024,109,115,166033.407,1:13:52,21:49:11,0.198
1025-2048,7,7,19272.935,0:53:13,8:18:56,0.227
2049-4096,3,3,208.365,0:00:58,14:36:30,0.001
,152312,152367,5631146.199,0:00:00,0:00:00,0

Runtime: 0-1 Hour
Nodes,Jobs Submitted,Jobs Run,Raw Usage / kAUs,Average Run Time / h,Average Wait Time / h,Scheduling Coefficient
1,69099,69143,15078.869,0:08:37,0:26:46,0.681
2,8602,8619,4462.476,0:10:09,0:31:46,0.77
3-4,6666,6693,8427.881,0:13:19,1:18:40,0.732
5-8,6305,6288,9574.508,0:08:17,0:46:38,0.666
9-16,5953,5948,23250.328,0:12:40,0:51:34,0.619
17-32,2978,2978,18991.61,0:09:29,1:29:31,0.556
33-64,1102,1099,15657.971,0:10:39,2:05:50,0.56
65-128,766,767,27012.466,0:12:03,1:30:18,0.546
129-256,114,114,8048.773,0:12:35,3:29:39,0.501
257-512,44,44,6854.663,0:12:43,2:10:30,0.483
513-1024,75,77,21733.264,0:13:05,23:53:42,0.163
1025-2048,5,5,924.287,0:03:34,11:08:39,0.008
2049-4096,3,3,208.365,0:00:58,14:36:30,0.001
,101712,101778,160225.461,0:00:00,0:00:00,0

Runtime: 1-3 Hours
Nodes,Jobs Submitted,Jobs Run,Raw Usage / kAUs,Average Run Time / h,Average Wait Time / h,Scheduling Coefficient
1,7433,7443,22095.755,1:57:37,2:48:33,0.698
2,4183,4181,22678.756,1:47:23,1:14:43,0.854
3-4,3308,3341,30675.104,1:37:57,1:37:11,0.832
