Scheduling Coefficient
Report produced on 2022-12-15 for period: Nov 2022 .
Usage broken down by job size. Coefficient is [runtime / (waittime+runtime)] - fraction of job lifetime spent doing work.
Low Priority jobs are excluded from the analysis
All Jobs
Resource Pool,Jobs Submitted,Jobs Run,Raw Usage / kAUs,Average Run Time / h,Average Wait Time / h,Scheduling Coefficient
Archer2,149559,149077,5865939.679,3:02:42,2:14:23,0.712

Nodes,Jobs Submitted,Jobs Run,Raw Usage / kAUs,Average Run Time / h,Average Wait Time / h,Scheduling Coefficient
1,76411,76182,245603.698,2:07:37,1:22:25,0.713
2,12700,12756,213119.149,5:30:42,2:23:02,0.763
3-4,12942,12828,396012.947,5:21:07,3:05:01,0.74
5-8,14441,14350,610135.831,3:57:36,3:15:34,0.687
9-16,14583,14581,909100.062,3:12:15,4:04:19,0.642
17-32,15479,15466,1019574.357,1:46:07,1:47:32,0.752
33-64,1607,1604,1122688.088,9:34:19,8:19:56,0.656
65-128,1091,1010,853193.133,5:34:35,6:04:25,0.555
129-256,179,180,206378.766,4:03:17,6:04:11,0.508
257-512,57,55,112232.359,3:38:27,23:10:48,0.317
513-1024,67,63,175302.595,2:01:49,56:00:57,0.077
1025-2048,1,1,543.191,0:10:30,12:11:02,0.014
2049-4096,1,1,2055.504,0:19:52,25:37:27,0.013
,149559,149077,5865939.679,0:00:00,0:00:00,0

Runtime: 0-1 Hour
Nodes,Jobs Submitted,Jobs Run,Raw Usage / kAUs,Average Run Time / h,Average Wait Time / h,Scheduling Coefficient
1,59804,59718,12323.035,0:08:10,0:31:57,0.691
2,6200,6184,3025.073,0:09:40,0:37:16,0.741
3-4,5728,5719,7141.731,0:12:59,1:36:16,0.637
5-8,9600,9601,17570.19,0:10:03,0:45:52,0.656
9-16,8679,8667,42579.967,0:16:11,1:24:17,0.573
17-32,12888,12869,17669.739,0:02:02,0:27:09,0.749
33-64,682,682,10292.229,0:11:37,3:07:42,0.548
65-128,518,457,13001.536,0:10:21,3:08:41,0.435
129-256,98,98,7910.048,0:16:39,3:37:48,0.353
