Software,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,kWh,PercentEnergy,Users,Projects
Overall,0.0,262.6,353.0,418.0,849.6,389060,3913108.1,99.1,1411233.8,98.4,595,91
VASP,0.0,341.1,389.7,472.5,849.6,103059,827933.3,21.0,299613.4,20.9,108,8
Unidentified,0.0,345.9,388.9,465.6,799.8,51386,684219.6,17.3,256858.1,17.9,198,66
CP2K,0.0,290.3,353.6,387.5,717.6,36736,305689.3,7.7,102591.8,7.2,42,8
Python,0.0,295.6,349.0,432.3,572.7,1926,265521.9,6.7,63082.6,4.4,17,10
CASTEP,0.0,167.0,206.0,344.0,630.6,107997,190134.2,4.8,72894.9,5.1,39,4
GROMACS,0.0,210.0,275.0,436.4,652.0,29329,177952.8,4.5,83262.4,5.8,29,6
LAMMPS,0.0,325.1,343.4,408.8,745.6,20707,165552.2,4.2,71492.1,5.0,45,13
Met Office UM,0.0,113.4,246.0,375.3,606.5,4733,136422.5,3.5,44157.3,3.1,30,2
ChemShell,0.0,301.4,339.9,360.6,546.7,1432,122864.9,3.1,36202.3,2.5,10,3
Code_Saturne,0.0,191.3,324.5,394.2,620.0,302,118329.4,3.0,19310.3,1.3,6,3
ONETEP,0.0,304.0,373.2,458.8,495.9,105,114253.9,2.9,45406.9,3.2,5,1
CRYSTAL,0.0,228.7,279.0,370.3,550.3,5044,112963.2,2.9,32157.2,2.2,6,2
a.out,3.0,335.1,370.5,485.1,574.4,254,77108.1,2.0,31562.8,2.2,7,5
SENGA,0.0,393.4,499.6,541.3,598.8,253,71295.1,1.8,34256.4,2.4,8,3
Xcompact3d,0.0,382.1,398.1,427.8,581.2,650,62870.0,1.6,26699.0,1.9,7,4
NEMO,0.0,277.7,334.3,394.2,767.0,1345,60279.0,1.5,22460.8,1.6,17,4
OpenFOAM,0.0,318.1,398.3,435.3,619.3,1427,59182.3,1.5,25359.3,1.8,33,12
Nektar++,107.7,355.4,388.6,516.8,746.9,328,51215.3,1.3,24711.4,1.7,7,4
NAMD,0.0,358.7,460.4,530.6,684.2,6272,50328.8,1.3,22932.9,1.6,10,6
FHI aims,0.0,417.4,505.7,521.5,595.8,6568,34169.0,0.9,12931.5,0.9,12,2
CASINO,0.0,387.3,414.2,491.2,576.6,295,23153.1,0.6,9970.1,0.7,4,3
RMT,13.5,309.1,350.8,477.1,573.6,513,21972.5,0.6,10169.8,0.7,5,1
HANDE,0.0,307.9,327.3,335.5,390.7,253,18910.1,0.5,2184.9,0.2,1,1
iIMB,400.4,494.8,501.8,514.3,543.4,53,18177.0,0.5,8984.1,0.6,2,1
Smilei,245.9,264.2,264.4,273.2,335.1,6,16367.8,0.4,4042.1,0.3,1,1
Nek5000,37.5,288.5,415.5,439.2,588.8,63,15187.2,0.4,6901.7,0.5,3,2
EPOCH,99.5,377.5,458.9,497.7,558.3,73,14434.4,0.4,6184.6,0.4,5,1
Quantum Espresso,0.0,368.2,449.4,471.4,610.5,3198,12641.5,0.3,5283.8,0.4,14,2
MITgcm,0.0,224.6,387.0,404.7,570.6,531,12479.5,0.3,4479.4,0.3,9,2
PDNS3D,417.8,547.3,558.3,565.7,586.0,17,9861.4,0.2,4979.6,0.3,2,1
SIESTA,0.0,359.5,364.5,370.5,595.5,274,9628.8,0.2,1147.1,0.1,6,2
3DNS,209.5,322.2,393.0,447.1,526.9,26,8928.7,0.2,2742.0,0.2,1,1
HYDRA,34.0,282.2,291.7,337.5,371.6,23,8745.3,0.2,2732.2,0.2,1,1
GPAW,0.0,372.9,409.1,518.5,592.5,971,6604.5,0.2,2691.3,0.2,2,1
Cluster,0.3,339.3,352.0,366.2,529.5,316,5290.6,0.1,1816.6,0.1,1,1
NWChem,0.0,349.7,486.0,502.9,539.8,2001,5181.7,0.1,1874.8,0.1,14,6
GS2,54.6,356.7,384.4,420.3,567.1,301,4253.2,0.1,1701.3,0.1,2,1
Arm Forge,99.0,223.5,344.2,398.5,556.9,18,4064.7,0.1,1462.0,0.1,5,4
HemeLB,0.0,351.4,414.9,438.2,562.0,81,3255.0,0.1,1321.7,0.1,1,1
EDAMAME,110.2,391.1,433.8,475.7,537.1,25,3237.2,0.1,1517.5,0.1,2,1
CPMD,0.0,392.0,403.7,515.7,598.4,62,2076.3,0.1,971.5,0.1,1,1
Zacros,104.6,340.3,354.4,364.2,380.0,8,197.6,0.0,47.7,0.0,1,1
WRF,28.0,502.1,522.0,524.2,534.7,55,107.2,0.0,52.5,0.0,1,1
TPLS,318.5,392.2,426.1,517.2,564.1,41,66.7,0.0,31.4,0.0,2,1
ptau3d,409.7,452.1,494.6,504.6,514.7,3,1.1,0.0,0.6,0.0,1,1
