Scheduling Coefficient
Report produced on 2023-01-16 for period: Dec 2022 .
Usage broken down by job size. Coefficient is [runtime / (waittime+runtime)] - fraction of job lifetime spent doing work.
Low Priority jobs are excluded from the analysis
All Jobs
Resource Pool,Jobs Submitted,Jobs Run,Raw Usage / kAUs,Average Run Time / h,Average Wait Time / h,Scheduling Coefficient
Archer2,150302,150922,6173661.793,3:12:24,4:43:22,0.662

Nodes,Jobs Submitted,Jobs Run,Raw Usage / kAUs,Average Run Time / h,Average Wait Time / h,Scheduling Coefficient
1,68185,68598,231301.819,2:13:40,3:26:11,0.666
2,14168,14232,222759.893,5:09:49,5:50:58,0.705
3-4,37492,37379,519331.728,2:21:26,2:41:37,0.673
5-8,13997,14071,801925.561,5:11:52,7:10:30,0.661
9-16,9561,9612,1021304.27,5:37:31,9:38:50,0.563
17-32,4531,4566,819952.827,4:50:33,7:29:30,0.668
33-64,1154,1168,871441.521,10:21:47,26:19:40,0.529
65-128,984,1068,1023302.956,6:06:51,27:55:09,0.514
129-256,123,119,324127.6,9:30:17,19:14:35,0.456
257-512,65,64,199886.49,5:27:29,5:41:09,0.542
513-1024,41,44,118920.551,1:54:02,44:43:47,0.089
1025-2048,1,1,19406.577,6:15:08,15:12:33,0.291
,150302,150922,6173661.793,0:00:00,0:00:00,0

Runtime: 0-1 Hour
Nodes,Jobs Submitted,Jobs Run,Raw Usage / kAUs,Average Run Time / h,Average Wait Time / h,Scheduling Coefficient
1,52894,52950,9085.656,0:06:47,2:19:16,0.655
2,7967,7984,5730.038,0:14:12,1:10:37,0.745
3-4,28641,28598,13775.877,0:04:52,0:41:57,0.669
5-8,8692,8699,13592.586,0:08:12,2:46:33,0.666
9-16,3886,3905,17610.863,0:14:58,3:38:13,0.537
17-32,2668,2681,29373.413,0:14:46,3:23:02,0.627
33-64,469,468,6294.011,0:10:14,12:44:19,0.37
65-128,458,518,10195.325,0:07:24,32:21:20,0.369
129-256,43,43,3274.706,0:15:30,11:13:13,0.164
257-512,37,38,3079.259,0:08:51,6:48:16,0.395
513-1024,25,28,5015.17,0:07:07,53:25:37,0.007
,105780,105912,117026.903,0:00:00,0:00:00,0

Runtime: 1-3 Hours
