Software,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,kWh,PercentEnergy,Users,Projects
Overall,0.0,316.9,363.9,420.7,849.1,959719,3870642.2,98.5,1257378.9,97.9,603,89
VASP,0.0,254.6,339.4,385.4,849.1,70769,928353.6,23.6,283541.0,22.1,105,6
Unidentified,0.0,332.1,376.2,409.7,848.8,43348,549244.6,14.0,184885.2,14.4,202,65
a.out,0.0,341.0,347.5,,398.0,247,392341.9,10.0,99018.8,7.7,6,4
GROMACS,0.0,455.8,468.5,510.0,700.0,4070,290206.9,7.4,134572.6,10.5,32,6
LAMMPS,0.0,351.2,422.8,,614.0,19037,286113.5,7.3,80437.0,6.3,45,11
CP2K,0.0,280.3,342.7,384.3,608.1,7182,249860.8,6.4,76901.3,6.0,44,9
CASTEP,0.0,308.5,369.3,412.6,761.9,764307,133044.9,3.4,45590.7,3.5,41,5
Met Office UM,0.0,152.1,346.4,472.4,618.8,10382,129028.7,3.3,38135.6,3.0,34,2
Xcompact3d,0.0,384.2,395.4,405.6,461.7,453,107242.9,2.7,40959.5,3.2,10,6
Python,6.5,293.8,370.8,393.8,449.8,1028,106055.6,2.7,30920.9,2.4,16,9
ONETEP,18.5,320.2,334.6,339.0,414.6,272,99105.3,2.5,32164.1,2.5,8,3
ChemShell,0.0,230.9,275.5,364.7,526.6,1743,93881.6,2.4,27572.8,2.1,12,3
MITgcm,0.0,408.6,495.5,505.8,681.7,1358,65473.5,1.7,30320.0,2.4,11,2
GS2,36.5,297.9,327.9,350.0,389.9,135,63352.3,1.6,19494.8,1.5,2,1
FHI aims,0.0,253.7,348.5,403.1,559.3,4738,48696.4,1.2,14785.2,1.2,20,4
CRYSTAL,0.0,345.2,368.0,380.3,566.6,9138,42456.9,1.1,14571.7,1.1,6,2
NAMD,121.8,467.4,513.9,535.6,588.7,854,33892.0,0.9,16652.2,1.3,8,6
NEMO,0.0,302.1,363.5,435.2,612.1,6964,33474.9,0.9,11632.6,0.9,19,3
Nektar++,194.5,397.6,405.2,416.6,445.1,91,29071.2,0.7,11857.6,0.9,7,4
SENGA,235.3,341.2,400.2,406.1,523.0,53,25315.3,0.6,9941.6,0.8,6,2
OpenFOAM,0.0,371.8,395.9,414.5,493.5,1035,24404.9,0.6,9487.0,0.7,20,9
iIMB,249.1,396.2,401.1,406.1,437.4,73,23595.7,0.6,9493.4,0.7,2,1
Quantum Espresso,0.0,369.6,447.6,471.8,821.7,4951,20614.8,0.5,8142.1,0.6,15,4
Smilei,173.4,239.4,,,263.1,17,18432.3,0.5,1375.8,0.1,1,1
SIESTA,0.0,38.0,48.6,81.4,414.3,103,9748.5,0.2,621.9,0.0,5,2
CASINO,0.1,385.8,398.9,416.3,489.6,117,8293.1,0.2,3327.0,0.3,4,3
Nek5000,271.0,352.6,412.6,413.8,429.1,39,8237.7,0.2,3175.8,0.2,1,1
Code_Saturne,0.0,324.6,375.3,382.5,465.4,74,7331.7,0.2,2643.4,0.2,6,3
Arm Forge,28.5,352.8,355.1,358.2,367.6,41,7071.9,0.2,2519.6,0.2,7,6
RMT,195.7,320.6,333.2,337.1,388.0,167,5645.6,0.1,1840.9,0.1,3,1
EPOCH,151.0,283.6,336.3,371.5,391.0,85,5539.8,0.1,1777.2,0.1,4,1
NWChem,47.9,347.3,360.0,384.5,456.5,2398,5431.8,0.1,1917.9,0.1,9,6
3DNS,321.0,392.3,403.7,421.1,421.1,12,4886.2,0.1,1528.6,0.1,1,1
GPAW,0.0,208.2,400.8,423.0,451.0,137,2850.1,0.1,916.8,0.1,2,1
PDNS3D,417.8,417.8,417.8,417.8,417.8,1,2683.6,0.1,1121.2,0.1,1,1
EDAMAME,132.0,335.3,352.9,364.4,405.1,23,2671.5,0.1,938.3,0.1,2,1
DL_POLY,0.0,402.0,408.9,417.4,453.7,173,2269.1,0.1,918.2,0.1,1,1
Cluster,0.5,347.2,355.5,364.1,567.6,85,1595.7,0.0,598.8,0.0,1,1
ptau3d,226.2,317.2,328.3,342.3,363.5,32,1477.0,0.0,486.7,0.0,1,1
WRF,81.0,382.5,382.5,398.0,410.5,36,1057.8,0.0,377.6,0.0,2,1
Amber,0.0,367.8,374.8,382.8,427.5,3840,309.5,0.0,116.0,0.0,2,2
Elk,0.1,294.0,340.3,350.1,422.2,31,100.4,0.0,32.8,0.0,1,1
FVCOM,286.2,288.9,382.8,384.2,384.3,8,68.7,0.0,24.6,0.0,1,1
HemeLB,361.3,510.9,510.9,510.9,510.9,7,56.7,0.0,27.9,0.0,1,1
HANDE,55.0,55.0,258.7,258.7,258.7,2,25.7,0.0,4.2,0.0,1,1
TPLS,271.4,348.4,355.8,377.2,399.8,37,23.7,0.0,8.5,0.0,2,1
PRECISE,85.5,126.6,144.3,287.8,373.3,14,4.1,0.0,0.8,0.0,1,1
CESM,170.8,355.8,403.3,403.3,403.3,7,1.5,0.0,0.6,0.0,1,1
CPMD,347.7,404.4,404.4,404.4,407.8,3,0.3,0.0,0.1,0.0,2,1
ECHAM,285.6,285.6,297.5,297.5,297.5,2,0.0,0.0,0.0,0.0,1,1
