Scheduling Coefficient
Report produced on 2023-05-08 for period: Mar 2023 .
Usage broken down by job size. Coefficient is [runtime / (waittime+runtime)] - fraction of job lifetime spent doing work.
Low Priority jobs are excluded from the analysis
All Jobs
Resource Pool,Jobs Submitted,Jobs Run,Raw Usage / kAUs,Average Run Time / h,Average Wait Time / h,Scheduling Coefficient
Archer2,223179,222971,6004493.928,2:11:58,2:43:47,0.659

Nodes,Jobs Submitted,Jobs Run,Raw Usage / kAUs,Average Run Time / h,Average Wait Time / h,Scheduling Coefficient
1,122826,122785,287583.535,1:32:43,1:26:15,0.705
2,19250,19025,249997.628,4:20:06,5:20:28,0.643
3-4,20024,20274,435058.468,3:46:24,4:58:50,0.634
5-8,16927,16802,661176.02,3:40:16,4:30:22,0.629
9-16,11886,11848,782641.431,3:32:13,4:40:35,0.637
17-32,26911,26938,784860.477,0:45:14,1:55:55,0.528
33-64,1693,1644,787631.526,6:45:21,14:03:15,0.536
65-128,1878,1869,463687.315,1:46:06,4:47:23,0.605
129-256,1460,1463,688676.625,1:39:23,4:10:52,0.625
257-512,199,203,531578.51,3:49:27,23:06:23,0.202
513-1024,110,106,244822.466,1:52:20,31:07:39,0.248
1025-2048,6,6,43876.458,2:27:44,3:37:40,0.236
2049-4096,9,8,42903.469,0:51:50,28:36:25,0.029
,223179,222971,6004493.928,0:00:00,0:00:00,0

Runtime: 0-1 Hour
Nodes,Jobs Submitted,Jobs Run,Raw Usage / kAUs,Average Run Time / h,Average Wait Time / h,Scheduling Coefficient
1,101821,101686,20289.561,0:07:54,0:34:27,0.704
2,9173,9142,5889.103,0:12:45,2:10:34,0.636
3-4,11060,11074,14093.384,0:12:59,2:02:36,0.578
5-8,11612,11593,14085.488,0:06:30,0:45:55,0.606
9-16,5706,5686,31639.835,0:18:24,2:33:51,0.605
17-32,24033,24045,34817.24,0:02:01,0:38:37,0.506
33-64,987,952,18257.669,0:15:14,8:38:04,0.43
65-128,1318,1322,61915.635,0:16:23,2:51:06,0.571
129-256,456,457,27202.202,0:11:27,5:45:21,0.321
257-512,152,154,19634.739,0:10:09,16:08:24,0.142
513-1024,71,69,22523.144,0:13:12,20:50:21,0.204
1025-2048,4,4,3632.859,0:18:52,2:47:04,0.122
2049-4096,8,7,11813.974,0:16:18,28:31:26,0.013
,166401,166191,285794.832,0:00:00,0:00:00,0

Runtime: 1-3 Hours
Nodes,Jobs Submitted,Jobs Run,Raw Usage / kAUs,Average Run Time / h,Average Wait Time / h,Scheduling Coefficient
1,8860,8923,23992.973,1:46:27,2:51:10,0.677
2,2790,2785,16939.69,2:00:23,4:24:35,0.634
3-4,3730,3792,38074.105,1:52:48,2:15:24,0.754
5-8,1177,1193,24263.957,1:51:38,10:53:14,0.528
9-16,3770,3717,106295.464,1:37:41,3:11:31,0.654
17-32,981,985,68661.349,1:35:04,5:30:06,0.697
33-64,185,181,25058.15,1:43:17,15:15:24,0.583
65-128,219,212,55879.594,2:00:59,6:15:57,0.598
129-256,914,917,264908.421,1:13:23,1:02:38,0.781
257-512,8,9,9705.107,1:32:12,21:26:04,0.193
513-1024,25,25,59335.751,1:51:36,56:27:53,0.323
1025-2048,1,1,2972.934,1:30:32,6:16:01,0.194
,22660,22740,696087.495,0:00:00,0:00:00,0

Runtime: 3-6 Hours
Nodes,Jobs Submitted,Jobs Run,Raw Usage / kAUs,Average Run Time / h,Average Wait Time / h,Scheduling Coefficient
1,3117,3118,20416.266,4:19:13,5:18:32,0.66
2,3738,3692,44311.46,3:57:34,6:39:04,0.608
3-4,2051,2047,45402.384,4:04:20,9:22:13,0.598
5-8,1260,1210,54534.809,4:15:29,10:24:25,0.665
9-16,874,880,54572.179,3:37:20,6:55:16,0.526
17-32,1067,1057,170035.716,3:32:15,5:48:44,0.772
33-64,55,54,20005.974,4:24:09,15:16:16,0.708
65-128,252,248,107057.398,3:49:04,2:11:55,0.785
129-256,22,23,33163.984,4:09:35,12:38:41,0.532
257-512,2,2,6567.223,4:13:53,47:58:02,0.154
