Scheduling Coefficient
Report produced on 2023-12-04 for period: Nov 2023 .
Usage broken down by job size. Coefficient is [runtime / (waittime+runtime)] - fraction of job lifetime spent doing work.
Low Priority jobs are excluded from the analysis
All Jobs
Resource Pool,Jobs Submitted,Jobs Run,Raw Usage / kAUs,Average Run Time / h,Average Wait Time / h,Scheduling Coefficient
Archer2,217805,217876,5936700.524,2:24:18,3:58:39,0.624

Nodes,Jobs Submitted,Jobs Run,Raw Usage / kAUs,Average Run Time / h,Average Wait Time / h,Scheduling Coefficient
1,111916,112005,298249.416,1:45:29,2:28:02,0.685
2,14923,14792,173799.693,3:52:34,5:02:33,0.676
3-4,29623,29745,571092.119,3:16:52,4:30:32,0.534
5-8,23472,23598,828904.892,3:16:48,7:16:52,0.499
9-16,18298,18201,1034408.722,3:01:46,6:31:42,0.625
17-32,16598,16578,1151657.97,1:38:53,3:18:07,0.497
33-64,1374,1360,426569.547,3:58:44,7:29:15,0.676
65-128,1100,1100,633829.843,4:02:48,13:30:59,0.66
129-256,352,354,627362.939,6:13:09,11:00:47,0.599
257-512,98,102,136178.773,2:04:40,50:42:32,0.335
513-1024,46,35,33230.55,0:42:59,29:31:39,0.136
1025-2048,4,5,20378.717,2:02:51,197:29:02,0.021
2049-4096,1,1,1037.344,0:18:40,16:11:54,0.019
,217805,217876,5936700.524,0:00:00,0:00:00,0

Runtime: 0-1 Hour
Nodes,Jobs Submitted,Jobs Run,Raw Usage / kAUs,Average Run Time / h,Average Wait Time / h,Scheduling Coefficient
1,90227,90142,33535.488,0:14:46,0:51:27,0.679
2,8499,8505,4270.685,0:09:56,2:43:25,0.615
3-4,21162,21159,27084.869,0:12:53,1:13:42,0.484
5-8,16204,16184,23110.374,0:08:29,2:24:55,0.438
9-16,12055,12044,46280.384,0:13:30,2:25:41,0.621
17-32,13288,13274,59861.127,0:07:14,1:10:50,0.439
33-64,916,909,16772.001,0:15:00,2:18:50,0.601
65-128,529,524,12288.102,0:09:48,7:31:55,0.456
129-256,173,172,12898.358,0:17:41,2:43:06,0.502
