CPUFreq,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,Users,Projects
Overall,1,640.0,1920.0,6400.0,262144,2010704,3960032.1,100.0,800,118
2G,1,512.0,1440.0,6400.0,131072,1867403,2771072.8,70.0,711,114
2.25G,1,1024.0,3072.0,8192.0,262144,41659,1156368.0,29.2,134,28
Unknown,1,512.0,26244.0,26244.0,26244,100945,32584.6,0.8,15,12
1.50G,256,384.0,384.0,384.0,384,2,4.0,0.0,2,2
High,1,128.0,1024.0,2048.0,2048,224,1.5,0.0,2,1
Highm1,1,32.0,64.0,128.0,128,332,0.8,0.0,1,1
Low,1,32.0,64.0,128.0,128,72,0.2,0.0,1,1
Medium,1,16.0,32.0,64.0,64,24,0.0,0.0,1,1
2.20G,1,16.0,16.0,16.0,16,7,0.0,0.0,1,1
2.80G,1,1.0,1.0,1.0,2,36,0.0,0.0,3,2
