Software,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,Users,Projects
Overall,0,1.0,6.0,128.0,262144,342711,1453927.6,100.0,647,103
Unknown,1,1.0,8.0,32.0,76800,116697,254059.8,17.5,282,75
VASP,1,128.0,128.0,512.0,5120,19799,238864.0,16.4,104,13
Met Office UM,1,200.0,576.0,1024.0,12544,10096,192109.5,13.2,36,4
No srun,0,2.0,2.0,128.0,262144,20484,159180.4,10.9,424,75
LAMMPS,1,1.0,1.0,128.0,131072,7476,96183.3,6.6,35,13
CP2K,1,2.0,16.0,128.0,16384,29449,75225.4,5.2,38,9
GROMACS,1,16.0,24.0,128.0,8192,5071,49411.5,3.4,27,4
Nektar++,128,1792.0,3840.0,4096.0,32768,254,47340.2,3.3,9,2
OpenFOAM,2,128.0,256.0,512.0,12800,925,46117.7,3.2,31,11
CASTEP,1,16.0,16.0,16.0,10240,10172,34320.4,2.4,34,8
Code_Saturne,4,256.0,1024.0,3072.0,32768,66,29819.8,2.1,6,4
ChemShell,2,128.0,128.0,2560.0,76800,358,25579.8,1.8,8,3
GS2,128,256.0,256.0,1024.0,3072,841,19921.0,1.4,5,2
SENGA,100,128.0,128.0,128.0,16384,116,17590.3,1.2,4,3
Hydro3D,200,200.0,1056.0,31960.0,31960,14,17208.0,1.2,4,2
FHI aims,1,128.0,128.0,128.0,4096,16593,15094.0,1.0,18,5
NEMO,1,1.0,1.0,40.0,6528,6490,13138.9,0.9,17,2
iIMB,128,128.0,128.0,128.0,10752,683,12552.0,0.9,3,2
Quantum Espresso,32,128.0,256.0,512.0,16384,2365,12331.9,0.8,12,4
BOUT++,768,768.0,1344.0,1344.0,1344,54,10321.5,0.7,1,1
PeleLMeX,512,1024.0,1024.0,2048.0,4096,33,8797.4,0.6,2,1
GENE,1,36.0,1024.0,1024.0,6144,367,8312.7,0.6,10,2
Python,1,1.0,1.0,1.0,16384,84052,7785.9,0.5,32,17
RMT,32,640.0,2432.0,2432.0,4352,115,7320.5,0.5,4,1
SIESTA,4,2304.0,2304.0,2304.0,2304,289,7099.5,0.5,1,1
WRF,4,192.0,384.0,384.0,384,146,6703.0,0.5,5,3
ONETEP,10,10.0,10.0,64.0,256,409,5389.2,0.4,7,1
EDAMAME,1331,1331.0,1331.0,1331.0,15625,52,4875.7,0.3,2,1
EPOCH,120,1280.0,1280.0,1280.0,4096,344,4871.3,0.3,5,1
CRYSTAL,128,512.0,512.0,1024.0,1024,128,4528.2,0.3,2,2
MITgcm,1,126.0,126.0,126.0,363,5811,3934.7,0.3,10,3
Xcompact3d,128,128.0,128.0,128.0,4096,101,3199.6,0.2,5,3
HYDRA,1,4.0,12.0,384.0,1280,389,2986.7,0.2,8,6
CESM,32,128.0,256.0,384.0,1280,98,2820.4,0.2,8,2
a.out,4,32.0,256.0,1024.0,4096,185,1850.7,0.1,6,4
VAMPIRE,128,512.0,1024.0,1024.0,2048,93,1762.9,0.1,5,3
OpenSBLI,4096,4096.0,6144.0,38912.0,131072,4,1454.5,0.1,2,2
FDS,248,248.0,248.0,248.0,248,20,952.6,0.1,1,1
ECOGEN,4096,4096.0,4096.0,4096.0,4096,2,777.1,0.1,1,1
NWChem,32,32.0,128.0,256.0,256,1374,775.1,0.1,7,3
SU2,128,256.0,256.0,256.0,1280,140,715.9,0.0,3,1
DL_MESO,128,128.0,128.0,128.0,128,10,204.0,0.0,1,1
CASINO,128,256.0,256.0,1280.0,1280,20,125.3,0.0,1,1
Smilei,32,32.0,32.0,32.0,512,71,91.4,0.0,2,1
Amber,1,64.0,64.0,64.0,128,60,76.4,0.0,2,1
AxiSEM3D,128,256.0,256.0,256.0,256,95,73.6,0.0,1,1
HemeLB,32,256.0,2304.0,2304.0,6400,18,31.0,0.0,1,1
NAMD,128,416.0,512.0,512.0,512,4,25.1,0.0,2,2
Arm Forge,1,4.0,4.0,8.0,2048,93,10.7,0.0,7,6
ptau3d,8,64.0,64.0,64.0,64,55,6.8,0.0,1,1
SBLI,16,16.0,16.0,128.0,512,121,0.5,0.0,2,1
FEniCS,256,256.0,256.0,256.0,256,1,0.0,0.0,1,1
TPLS,5,5.0,5.0,5.0,5,8,0.0,0.0,1,1
