Software,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,kWh,PercentEnergy,Users,Projects
Overall,1,1.0,2.0,6.0,1024,239047,4239439.9,100.0,1587338.2,100.0,987,114
Unidentified,1,1.0,1.0,8.0,1024,87632,1702705.7,40.2,618075.1,38.9,872,105
VASP,1,1.0,1.0,2.0,800,48664,781026.9,18.4,299702.2,18.9,162,15
GROMACS,1,4.0,4.0,6.0,22,18384,174332.2,4.1,85403.1,5.4,37,6
FHI aims,1,2.0,2.0,4.0,64,3256,129099.2,3.0,44589.1,2.8,28,5
Python,1,1.0,1.0,10.0,500,2450,121828.1,2.9,42544.5,2.7,58,28
SENGA,1,1.0,4.0,51.0,64,156,117714.4,2.8,64414.8,4.1,5,3
Nektar++,1,25.0,32.0,40.0,80,234,108657.9,2.6,39928.9,2.5,9,4
NEMO,1,10.0,10.0,10.0,124,2390,100512.9,2.4,32537.4,2.0,23,3
LAMMPS,1,1.0,1.0,1.0,1024,7901,96809.9,2.3,40974.7,2.6,53,18
OpenFOAM,1,1.0,1.0,3.0,32,2441,95602.1,2.3,37125.4,2.3,45,19
CASTEP,1,1.0,1.0,6.0,72,13301,92375.8,2.2,29197.9,1.8,33,6
ONETEP,1,1.0,1.0,16.0,512,451,91764.1,2.2,29715.2,1.9,5,2
CP2K,1,1.0,1.0,4.0,220,8146,90752.9,2.1,32250.9,2.0,31,5
Met Office UM,1,6.0,16.0,21.0,48,22114,76279.4,1.8,24620.0,1.6,43,4
MITgcm,1,2.0,2.0,2.0,8,4180,49009.9,1.2,18624.9,1.2,17,3
Quantum Espresso,1,1.0,1.0,2.0,32,5349,42712.3,1.0,17914.8,1.1,50,7
Code_Saturne,1,2.0,4.0,8.0,64,249,39031.5,0.9,14116.4,0.9,6,2
ChemShell,1,1.0,1.0,8.0,16,600,33385.8,0.8,14057.2,0.9,6,1
CRYSTAL,1,1.0,6.0,16.0,53,209,32977.0,0.8,8661.1,0.5,9,5
GENE,1,4.0,5.0,5.0,80,249,29941.9,0.7,13681.7,0.9,3,2
CESM,1,2.0,4.0,4.0,50,1082,28746.1,0.7,10966.6,0.7,10,2
iIMB,18,18.0,18.0,18.0,18,64,25069.8,0.6,9606.7,0.6,1,1
OpenSBLI,1,2.0,3.0,3.2,1024,48,24251.5,0.6,5782.1,0.4,4,3
WRF,1,3.0,3.0,3.0,3,116,23497.8,0.6,9515.3,0.6,3,2
PeleLMeX,1,1.0,2.0,16.0,32,147,21505.9,0.5,3711.9,0.2,3,1
GAMESS,1,1.0,1.0,1.0,1,727,18266.6,0.4,6531.7,0.4,9,1
EPOCH,1,8.0,8.0,10.0,16,1071,12053.8,0.3,4657.7,0.3,9,1
TPLS,4,16.0,32.0,32.0,32,58,11949.6,0.3,3872.7,0.2,2,1
Amber,64,64.0,64.0,64.0,64,16,10758.3,0.3,2117.8,0.1,1,1
NAMD,1,4.0,4.0,4.0,5,363,9949.4,0.2,4719.6,0.3,5,3
a.out,1,1.0,1.0,1.0,16,1034,7062.7,0.2,2576.7,0.2,7,4
SIESTA,1,1.0,1.0,18.0,25,61,7004.4,0.2,2646.5,0.2,2,2
Xcompact3d,1,4.0,6.0,8.0,128,104,5523.8,0.1,2076.3,0.1,6,5
ludwig,1,1.0,1.0,1.0,64,1136,3581.9,0.1,1787.0,0.1,2,2
AxiSEM3D,1,1.0,1.0,1.0,800,963,3070.5,0.1,1107.8,0.1,2,1
VAMPIRE,1,1.0,8.0,8.0,8,342,2912.9,0.1,1028.3,0.1,5,2
OSIRIS,8,32.0,64.0,64.0,64,9,2623.3,0.1,697.4,0.0,1,1
DL_POLY,1,1.0,1.0,8.0,8,63,2415.7,0.1,900.3,0.1,3,2
Nek5000,8,8.0,8.0,16.0,16,40,2392.6,0.1,991.9,0.1,2,1
RMT,10,12.0,14.0,14.0,40,79,2091.0,0.0,704.1,0.0,2,1
NWChem,1,1.0,1.0,1.0,4,2426,2025.7,0.0,768.9,0.0,15,7
Hydro3D,1,1.5,7.0,16.0,16,75,1785.3,0.0,809.1,0.1,2,2
HYDRA,1,1.0,1.0,8.0,32,106,1305.4,0.0,487.2,0.0,8,5
GS2,4,7.0,16.0,17.0,17,34,913.2,0.0,339.0,0.0,3,1
PDNS3D,8,8.0,8.0,8.0,8,168,714.9,0.0,302.9,0.0,2,1
DL_MESO,1,1.0,1.0,1.0,1,36,635.4,0.0,169.3,0.0,1,1
FDS,2,2.0,2.0,4.0,4,12,285.6,0.0,162.2,0.0,1,1
Arm Forge,1,1.0,1.0,1.0,16,164,181.1,0.0,64.2,0.0,6,6
Smilei,1,2.0,2.0,2.0,8,45,139.9,0.0,38.1,0.0,3,1
ptau3d,1,1.0,1.0,1.5,20,83,108.4,0.0,36.1,0.0,3,2
ABINIT,1,1.0,1.0,4.0,4,13,89.8,0.0,25.3,0.0,1,1
UKRmol+,1,1.2,2.0,3.5,4,6,7.6,0.0,2.1,0.0,1,1
