Code,Min,Q1,Median,Q3,Max,TotJobs,TotCU,PercentCU
Overall,1,256.0,1024.0,4096.0,262144,473452,1270388.4,100.0
VASP,3,256.0,1024.0,4608.0,43520,444837,1004275.2,79.1
cp2k,1,640.0,2688.0,3200.0,262144,3536,149704.5,11.8
ChemShell,1,512.0,512.0,1024.0,2048,664,50491.0,4.0
CASTEP,1,512.0,2560.0,2560.0,10240,1272,27505.9,2.2
FHI aims,16,128.0,128.0,384.0,25600,6446,13637.1,1.1
Python,1,1.0,2048.0,2048.0,3840,2657,13584.5,1.1
Quantum Espresso,32,256.0,256.0,1024.0,2048,3408,6520.8,0.5
SIESTA,8,640.0,640.0,640.0,768,40,2330.1,0.2
CRYSTAL,8,512.0,768.0,768.0,1024,105,1051.4,0.1
Unidentified,1,32.0,256.0,1536.0,4096,10242,741.8,0.1
HYDRA,1,10.0,10.0,10.0,10,11,264.2,0.0
NWChem,28,384.0,512.0,1280.0,1280,135,153.5,0.0
LAMMPS,128,128.0,128.0,4096.0,4096,29,74.8,0.0
DL_POLY,32,256.0,512.0,512.0,512,50,53.5,0.0
NEMO,256,256.0,256.0,256.0,512,12,0.0,0.0
Gromacs,128,128.0,128.0,128.0,128,8,0.0,0.0
